Country;CountryID;Continent;Gross national income per capita (PPP international $);Population (in thousands) total;Population annual growth rate (%);Population in urban areas (%);"Population living below the poverty line (% living on &lt; US$1 per day)";Population median age (years);Population proportion over 60 (%);Population proportion under 15 (%);Age-standardized mortality rate for cancer (per 100 000 population);Age-standardized mortality rate for cardiovascular diseases (per 100 000 population);Age-standardized mortality rate for injuries (per 100 000 population);Age-standardized mortality rate for non-communicable diseases (per 100 000 population);Cell_phones_per_100_people;Cell_phones_total;Infant_mortality_rate;Malnutrition_weight_for_age
Tuvalu;188;6;;10;0.4;46;;;8;34;129;541;69;1046;;;;
Uganda;189;3;880;29899;3.2;13;;15;4;49;146;422;154;824;4.6;1165035;79;19
Ukraine;190;2;6110;46557;-0.8;68;2;39;21;14;139;637;135;891;64.5;1.37E+07;20;4.1
United Arab Emirates;191;1;31190;4248;3.5;77;;30;2;20;100;369;72;625;100.8;3683117;8;
United Kingdom;192;2;33650;60512;0.4;90;;39;22;18;143;182;26;434;109.7;6.11E+07;5;
United States of America;193;4;44070;302841;1;81;;36;17;21;134;188;47;460;71.5;1.81E+08;7;1.1
Uruguay;194;5;9940;3331;0.2;92;2;33;18;24;170;208;55;518;35.5;600000;12;6
Uzbekistan;195;2;2190;26981;1.4;37;2;23;6;32;74;663;50;899;2.7;544100;40;15.3
Vanuatu;196;6;3480;221;2.5;24;;20;5;39;92;409;38;772;5.8;10504;31;
Venezuela;197;5;10970;27191;1.7;94;18.5;25;8;31;107;241;90;496;46.7;8420980;;
Vietnam;198;6;2310;86206;1.4;27;;25;8;29;123;318;72;664;11.4;4960000;16;26.7
West Bank and Gaza;199;1;;;;;;;;;;;;;29.6;974345;21;
Yemen;200;1;2090;21732;3;28;;17;4;45;108;553;102;956;9.5;1072000;76;47.6
Zambia;201;3;1140;11696;1.9;35;63.8;17;5;46;122;359;58;700;8.1;300000;102;23.3
Zimbabwe;202;3;;13228;0.8;36;;19;5;39;122;347;103;685;5.6;397500;68;14
